[RNG#1] raw=2030470262
[RNG#2] raw=3793892072
[RNG#3] raw=2851743046
[RNG#4] raw=574702432
[RNG#5] raw=3620926519
[RNG#6] raw=2468984361
[RNG#7] raw=4121665136
[RNG#8] raw=1670872321
[RNG#9] raw=3334870608
[RNG#10] raw=3556944531
[RNG#11] raw=465610318
[RNG#12] raw=965678468
[RNG#13] raw=270333586
[RNG#14] raw=3615859060
[RNG#15] raw=1369590262
[RNG#16] raw=3684755315
[RNG#17] raw=604892614
[RNG#18] raw=4022611215
[RNG#19] raw=630540104
[RNG#20] raw=84059166
[RNG#21] raw=2028659572
[RNG#22] raw=2126884272
[RNG#23] raw=3364923756
[RNG#24] raw=2048826045
[RNG#25] raw=1176702841
[RNG#26] raw=3679846461
[RNG#27] raw=3549433714
[RNG#28] raw=3244670038
[RNG#29] raw=2175320053
[RNG#30] raw=849491237
[RNG#31] raw=3779565983
[RNG#32] raw=2243071149
[RNG#33] raw=4065436464
[RNG#34] raw=408917616
[RNG#35] raw=4093071397
[RNG#36] raw=2256153550
[RNG#37] raw=1103511184
[RNG#38] raw=2970934260
[RNG#39] raw=290057490
[RNG#40] raw=1698248446
[RNG#41] raw=2443024608
[RNG#42] raw=2516615605
[RNG#43] raw=4057459217
[RNG#44] raw=1504293385
[RNG#45] raw=831772952
[RNG#46] raw=3397713759
[RNG#47] raw=58174970
[RNG#48] raw=3024180618
[RNG#49] raw=2577121549
[RNG#50] raw=2817215737
[RNG#51] raw=243670234
[RNG#52] raw=177615586
[RNG#53] raw=486682350
[RNG#54] raw=894538112
[RNG#55] raw=3002469269
[RNG#56] raw=63757723
[RNG#57] raw=1408059051
[RNG#58] raw=3142869095
[RNG#59] raw=1958632948
[RNG#60] raw=2004404973
[RNG#61] raw=2977154916
[RNG#62] raw=132387900
[RNG#63] raw=1590007430
[RNG#64] raw=1789461918
[RNG#65] raw=4107763283
[RNG#66] raw=4035189549
[RNG#67] raw=836260674
[RNG#68] raw=2476551503
[RNG#69] raw=2161279504
[RNG#70] raw=730177272
[RNG#71] raw=3847132085
[RNG#72] raw=1653149473
[RNG#73] raw=457837693
[RNG#74] raw=1102346648
[RNG#75] raw=3462362586
[RNG#76] raw=905601403
[RNG#77] raw=29536417
[RNG#78] raw=3239885666
[RNG#79] raw=1703647446
[RNG#80] raw=3875784682
[RNG#81] raw=3002890778
[RNG#82] raw=3407999789
[RNG#83] raw=1157370098
[RNG#84] raw=559779291
[RNG#85] raw=1951731558
[RNG#86] raw=326921807
[RNG#87] raw=805591442
[RNG#88] raw=4183384464
[RNG#89] raw=3018419369
[RNG#90] raw=895465757
[RNG#91] raw=999508176
[RNG#92] raw=3973708623
[RNG#93] raw=2102760340
[RNG#94] raw=2673144448
[RNG#95] raw=1849460741
[RNG#96] raw=114905571
[RNG#97] raw=725081277
[RNG#98] raw=2033459801
[RNG#99] raw=1924437326
[RNG#100] raw=2716197904
[RNG#101] raw=297684998
[RNG#102] raw=3256386512
[RNG#103] raw=3094605560
[RNG#104] raw=3134810372
[RNG#105] raw=1486934909
[RNG#106] raw=4114997013
[RNG#107] raw=666739522
[RNG#108] raw=3472944984
[RNG#109] raw=1434616575
[RNG#110] raw=2866092574
[RNG#111] raw=2341763102
[RNG#112] raw=3138071806
[RNG#113] raw=2327408024
[RNG#114] raw=572031605
[RNG#115] raw=4037140444
[RNG#116] raw=2967630307
[RNG#117] raw=4069341488
[RNG#118] raw=844241905
[RNG#119] raw=2467275817
[RNG#120] raw=3419788621

Total RNG calls: 120
